feature,coef,std_err,z,p_value,ci_lower,ci_upper,odds_ratio
const,-1.9849009828220674,0.11001010716641992,-18.04289654785419,8.97158114975225e-73,-2.2005168308036422,-1.7692851348404925,0.13739421783115635
gov_debt_gdp,0.5366782088982994,0.1180835734774018,4.544901488783332,5.496095255934315e-06,0.30523865771680275,0.7681177600797962,1.7103161028492497
external_debt_gdp,0.31172400794179383,0.11017323616874869,2.82939867051138,0.004663556531035804,0.09578843299082077,0.5276595828927669,1.3657776972102418
fiscal_balance_gdp,-0.23399265273472714,0.08743055391727748,-2.676325863794933,0.007443423478126043,-0.4053533895609783,-0.06263191590847592,0.7913676302621319
current_account_gdp,-0.26766593143775524,0.09762119407400277,-2.741883399160722,0.006108802243106049,-0.4589999559505956,-0.07633190692491487,0.7651633554328444
reserves_months_imports,-0.5262523398248933,0.09931176378619636,-5.298992986952053,1.1644310620850306e-07,-0.7208998200869874,-0.3316048595627992,0.5908149997162205
real_gdp_growth,-0.3829950655176672,0.09218270408823635,-4.154738888447753,3.25659219856457e-05,-0.5636698455281237,-0.20232028550721076,0.6818162636879971
inflation,0.16856021105588537,0.08835484206228576,1.9077642732591702,0.056421690305127656,-0.004612097245919405,0.3417325193576901,1.1835994904744749
real_rate_growth_diff,0.302024365525312,0.09432990379887303,3.201788121922375,0.001365774146215822,0.11714115141439282,0.4869075796362311,1.3525941829757844
short_term_debt_reserves,-0.03785433410764341,0.09618048122443959,-0.3935760522897506,0.6938940646104079,-0.2263646133232759,0.15065594510798908,0.962853185545001
political_stability,-0.292507898195182,0.09342064784478732,-3.1310840263189563,0.0017416232157585396,-0.4756090033833646,-0.10940679300699946,0.7463893498838341
