country_id,baseline_debt_gdp_5y,adverse_debt_gdp_5y,baseline_stress_prob_5y,adverse_stress_prob_5y,debt_gdp_delta_pp,stress_prob_delta
C000,97.12,118.52,0.4278,0.7527,21.39999999999999,0.3249
C001,42.95,52.96,0.0269,0.074,10.009999999999998,0.047099999999999996
C002,78.55,93.6,0.17,0.4072,15.049999999999997,0.2372
C003,47.84,57.09,0.0485,0.1198,9.25,0.0713
C004,24.51,32.54,0.0285,0.0743,8.029999999999998,0.04580000000000001
C005,147.52,174.51,0.8696,0.9698,26.98999999999998,0.10019999999999996
C006,13.94,19.0,0.0434,0.0908,5.0600000000000005,0.047400000000000005
C007,36.32,45.3,0.213,0.4322,8.979999999999997,0.21919999999999998
C008,137.42,164.62,0.861,0.9676,27.200000000000017,0.10660000000000003
C009,30.6,38.23,0.1242,0.2763,7.6299999999999955,0.15209999999999999
C010,41.22,51.42,0.0553,0.1455,10.200000000000003,0.09019999999999999
C011,21.43,34.21,0.0426,0.122,12.780000000000001,0.0794
C012,68.41,86.07,0.1249,0.3434,17.659999999999997,0.21849999999999997
C013,5.66,13.35,0.0968,0.226,7.6899999999999995,0.1292
C014,45.01,59.12,0.112,0.2914,14.11,0.1794
C015,23.28,28.23,0.0331,0.0793,4.949999999999999,0.0462
C016,85.99,105.13,0.3498,0.6722,19.14,0.3224
C017,24.54,36.77,0.0337,0.0981,12.230000000000004,0.06440000000000001
C018,74.63,90.79,0.0906,0.2571,16.16000000000001,0.16649999999999998
C019,76.61,93.58,0.3791,0.6875,16.97,0.3084
C020,71.44,88.07,0.0436,0.1382,16.629999999999995,0.09459999999999999
C021,0.0,0.0,0.0427,0.0884,0.0,0.045700000000000005
C022,19.31,26.64,0.0328,0.0834,7.330000000000002,0.0506
C023,28.19,35.65,0.1548,0.3297,7.459999999999997,0.1749
C024,36.64,49.51,0.0177,0.0541,12.869999999999997,0.0364
C025,69.42,83.63,0.2379,0.5056,14.209999999999994,0.26770000000000005
C026,27.75,39.35,0.1594,0.3665,11.600000000000001,0.2071
C027,28.79,36.87,0.1055,0.2446,8.079999999999998,0.1391
C028,43.69,52.82,0.4106,0.665,9.130000000000003,0.2544
C029,25.37,34.56,0.1533,0.3392,9.190000000000001,0.1859
C030,49.46,61.24,0.2109,0.4233,11.780000000000001,0.2124
C031,141.09,169.58,0.5428,0.8564,28.49000000000001,0.3136000000000001
C032,42.63,53.83,0.0938,0.2374,11.199999999999996,0.1436
C033,44.0,52.39,0.148,0.3258,8.39,0.17779999999999999
C034,47.81,60.25,0.081,0.2172,12.439999999999998,0.1362
C035,69.24,83.65,0.3212,0.6098,14.41000000000001,0.2886
C036,74.3,91.74,0.0917,0.2696,17.439999999999998,0.1779
C037,40.83,56.21,0.2191,0.4571,15.380000000000003,0.23800000000000002
C038,34.4,43.66,0.0723,0.1821,9.259999999999998,0.10980000000000001
C039,32.62,45.99,0.1747,0.4031,13.370000000000005,0.22840000000000002
C040,40.14,51.62,0.0926,0.236,11.479999999999997,0.14339999999999997
C041,4.84,10.84,0.0678,0.1497,6.0,0.0819
C042,44.46,55.85,0.1285,0.3081,11.39,0.17959999999999998
C043,48.56,59.83,0.0436,0.1214,11.269999999999996,0.0778
C044,48.31,59.73,0.1769,0.3957,11.419999999999995,0.2188
C045,40.04,52.68,0.193,0.4299,12.64,0.2369
C046,139.82,170.81,0.7454,0.9412,30.99000000000001,0.19580000000000009
C047,54.4,71.11,0.1926,0.4606,16.71,0.268
C048,97.19,117.62,0.1595,0.4304,20.430000000000007,0.27090000000000003
C049,92.14,112.45,0.1605,0.4267,20.310000000000002,0.2662
C050,127.05,156.28,0.6113,0.8909,29.230000000000004,0.27960000000000007
C051,78.51,99.35,0.1369,0.388,20.83999999999999,0.2511
C052,61.71,73.82,0.0928,0.2389,12.109999999999992,0.1461
C053,42.55,57.3,0.0257,0.0803,14.75,0.054599999999999996
C054,26.91,32.59,0.4975,0.7158,5.680000000000003,0.2183
C055,24.87,35.71,0.035,0.0964,10.84,0.061399999999999996
C056,46.03,62.33,0.2307,0.4967,16.299999999999997,0.266
C057,22.58,29.23,0.1621,0.3333,6.650000000000002,0.1712
C058,50.65,61.0,0.1005,0.2462,10.350000000000001,0.1457
C059,20.91,28.3,0.1085,0.2459,7.390000000000001,0.13740000000000002
C060,6.6,10.72,0.0204,0.0484,4.120000000000001,0.027999999999999997
C061,28.19,39.66,0.0693,0.1843,11.469999999999995,0.11499999999999999
C062,66.02,84.91,0.0733,0.2293,18.89,0.156
C063,128.36,155.06,0.6371,0.8935,26.69999999999999,0.25639999999999996
C064,26.48,35.64,0.1271,0.2935,9.16,0.1664
C065,110.93,130.32,0.7587,0.9144,19.389999999999986,0.15569999999999995
C066,41.71,52.14,0.2305,0.4699,10.43,0.23939999999999997
C067,12.61,18.57,0.0763,0.1697,5.960000000000001,0.09339999999999998
C068,51.83,63.26,0.2351,0.4486,11.43,0.2135
C069,39.57,48.03,0.0517,0.1298,8.46,0.0781
